面对离异家庭的学生应该怎么办？,面对离异家庭的学生应该怎么办？
教室要如何做才能从本质上改变后进生的学习态度？,教室要如何做才能从本质上改变后进生的学习态度？
我认为教师的工作就没有办法量化考核，就那点可怜的工资为什么还要拿走一部分当绩效工资？,我认为教师的工作就没有办法量化考核，就那点可怜的工资为什么还要拿走一部分当绩效工资？
大家可以谈谈学生发展核心素养对我们教师提出了什么新的要求吗？谢谢,大家可以谈谈学生发展核心素养对我们教师提出了什么新的要求吗？谢谢
学生怎么合理安排课余学习时间？,学生怎么合理安排课余学习时间？
假期如何督促学生学习？,假期如何督促学生学习？
视频中讲到学生心理问题的一般特征有：（1）行为不足。这是指人们所期望的行为很少发生或从不发生。（2）行为过度。指某一类行为出现得太多。（3）行为不适当。指某些心理表现或行为在不适宜的情境中产生，但在适宜的条件下却又不发生。您在教学中是否遇到这样的问题，您现在有了一个新的认识吗？,视频中讲到学生心理问题的一般特征有：（1）行为不足。这是指人们所期望的行为很少发生或从不发生。（2）行为过度。指某一类行为出现得太多。（3）行为不适当。指某些心理表现或行为在不适宜的情境中产生，但在适宜的条件下却又不发生。您在教学中是否遇到这样的问题，您现在有了一个新的认识吗？
在教学管理中，有一个学习较好的学生，但却非常自私自利，在今天下午班级大扫除时，作为班长的她，自己一个人坐在座位上学习，我非常生气，但因为马上中考，我又忍住没发火，各位同事，你们如果遇到这样的情况，该怎样处理？,在教学管理中，有一个学习较好的学生，但却非常自私自利，在今天下午班级大扫除时，作为班长的她，自己一个人坐在座位上学习，我非常生气，但因为马上中考，我又忍住没发火，各位同事，你们如果遇到这样的情况，该怎样处理？
孩子上课好动，该怎么办?,孩子上课好动，该怎么办?
期末学生都很浮躁，如何让学生静心对待总复习,期末学生都很浮躁，如何让学生静心对待总复习
如何管理好差下生，使之进步？,如何管理好差下生，使之进步？
老师们：怎样提高孩子的作文水平？,老师们：怎样提高孩子的作文水平？
怎样做好留守儿童的思想教育？,怎样做好留守儿童的思想教育？
家长为什么会站在老师的对立面？这样做对他孩子的教育有好处吗？问题家长一定会造化出一个问题孩子。,家长为什么会站在老师的对立面？这样做对他孩子的教育有好处吗？问题家长一定会造化出一个问题孩子。
他和爷爷奶奶住在一起，父母离异都有了新的家庭。他和妈妈一起生活，父母在他上小学1年级的时候就分开了。他的父母常年争吵，常把离婚挂在嘴边。他的妈妈特别凶，他从来不敢说出自己的心里话。他们在班级中或许不太爱说话，或许调皮捣蛋永远不听话，或许不学习还扰乱别人学习……家庭也是孩子受教育的重要场所，在家庭关系破裂等不和谐环境中成长的孩子，我们到底应该怎样帮助和教育他们？,他和爷爷奶奶住在一起，父母离异都有了新的家庭。他和妈妈一起生活，父母在他上小学1年级的时候就分开了。他的父母常年争吵，常把离婚挂在嘴边。他的妈妈特别凶，他从来不敢说出自己的心里话。他们在班级中或许不太爱说话，或许调皮捣蛋永远不听话，或许不学习还扰乱别人学习……家庭也是孩子受教育的重要场所，在家庭关系破裂等不和谐环境中成长的孩子，我们到底应该怎样帮助和教育他们？
怎样才能让留守学生5+2≠0即学校5天的学习效果，到周末时便从0开始。,怎样才能让留守学生5+2≠0即学校5天的学习效果，到周末时便从0开始。
当孩子沉迷手机游戏时，应该怎样有效沟通？,当孩子沉迷手机游戏时，应该怎样有效沟通？
如何激发孩子们读书的兴趣？,如何激发孩子们读书的兴趣？
班上一个男孩子(二年级)，头脑较灵活，但爱给他人取外号，爱说一些脏话、坏话，爱动手弄别人，不太受约束，比较自我，经过坚持不懈的学校教育和家校结合教育，有进步，但反复，请问怎么做？,班上一个男孩子(二年级)，头脑较灵活，但爱给他人取外号，爱说一些脏话、坏话，爱动手弄别人，不太受约束，比较自我，经过坚持不懈的学校教育和家校结合教育，有进步，但反复，请问怎么做？
11模块三课程讨论:您认为在帮助问题学生时最关键的是什么？,11模块三课程讨论:您认为在帮助问题学生时最关键的是什么？
学生不小心磕伤，其爷爷、奶奶、爸爸、妈妈齐到校兴师问罪，应怎样处理较合适?,学生不小心磕伤，其爷爷、奶奶、爸爸、妈妈齐到校兴师问罪，应怎样处理较合适?
为了进一步培养学生的自主管理和自我教育的能力，我校准备通过竞聘上岗的方式选拔一批优秀学生组建学生会，请问怎样有效指导初中生学生会干部开展工作？,为了进一步培养学生的自主管理和自我教育的能力，我校准备通过竞聘上岗的方式选拔一批优秀学生组建学生会，请问怎样有效指导初中生学生会干部开展工作？
班上有个男孩，很聪明，但是特懒惰，不能按时完成作业，成绩还可以，我多次找他谈话，但是效果不是很好，令我很是头疼！,班上有个男孩，很聪明，但是特懒惰，不能按时完成作业，成绩还可以，我多次找他谈话，但是效果不是很好，令我很是头疼！
如何引导孩子树立正确的人生观?,如何引导孩子树立正确的人生观?
如何基于培养学生核心素养开展班级活动？,如何基于培养学生核心素养开展班级活动？
怎么让孩子喜欢哲学？,怎么让孩子喜欢哲学？
对于每个孩子的闪光点，怎样因势导利？,对于每个孩子的闪光点，怎样因势导利？
评价一个好老师的标准是什么？,评价一个好老师的标准是什么？
行动计划对学校有考核吗？有的话怎么考核呢？,行动计划对学校有考核吗？有的话怎么考核呢？
"请大家分享一下""怎样实施差异性教学？""谢谢！","请大家分享一下""怎样实施差异性教学？""谢谢！"
音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？,音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？
无论怎么教，还是有一部分学生不会拼拼音，怎么样才能让学生学会拼音？,无论怎么教，还是有一部分学生不会拼拼音，怎么样才能让学生学会拼音？
孩子们上课爱讲小话，怎么办？,孩子们上课爱讲小话，怎么办？
探讨一下信息技术支撑下如何发展共同体,探讨一下信息技术支撑下如何发展共同体
一个班级的学生作文都一个内容，这样教学对吗？让孩子都背一样的文章？,一个班级的学生作文都一个内容，这样教学对吗？让孩子都背一样的文章？
不守信用的孩子怎么教育？,不守信用的孩子怎么教育？
孩子8岁了，每周回一次家，每次离家去上学都一直哭怎么办？拉都拉不动。,孩子8岁了，每周回一次家，每次离家去上学都一直哭怎么办？拉都拉不动。
教学是一门艺术，好的课堂是一种享受。我的课堂有意思吗？激活课堂、激发学习兴趣你都有哪些教学策略和方法？,教学是一门艺术，好的课堂是一种享受。我的课堂有意思吗？激活课堂、激发学习兴趣你都有哪些教学策略和方法？
有木有上过这节课，老师们，求助课件及教学设计，公开课。,有木有上过这节课，老师们，求助课件及教学设计，公开课。
