注意力不集中怎么办？,老师们，我在一线的时候总有一个问题，如何能够提高小组讨论的有效性？！如何避免讨论后小组派代表没人愿意说？或者一讨论学生们就聊别的这一问题呢？
如何让孩子喜欢学英语,怎么让孩子喜欢哲学？
学生恋爱问题,学生沉迷游戏怎么办2
如何防止孩子抄作业,如何不让孩子们在百度作业帮上查答案？
孩子学习没有热情怎么办,孩子上课总睡觉怎么办？3
如何让孩子喜欢哲学,怎么让孩子喜欢哲学？
孩子喜欢打游戏机怎么办,孩子上课总睡觉怎么办？
学生上课总是讲话怎么办,学生上课爱睡觉怎么办4
"想要调动学习积极性,有什么好的建议吗",请问各位好老师，怎么样才会让孩子爱上学习，能管住自己，自助学习。
老师们怎么能够管理好课堂秩序,老师们，如何排好班级位置呢，班主任经常接到家长电话要求将孩子排在前面来，可有那么多位置吗，座位滚动起来也是个问题，有时间孩子真看不到。怎么办呢。
对于学生偏科有什么好的建议吗,对班级里的学困生怎样进行辅导？
怎么样可以让家长配合老师完成教学任务,怎么样让学生在课堂合作学习中发挥最佳效果？6
好动淘气的学生怎么办,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。
想要提高孩子的阅读能力,如何激发孩子们读书的兴趣？
如何树立好的习惯,怎样培养孩子的良好学习习惯
"对于性格内向的孩子,怎么鼓励",假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。
孩子不愿意上学怎么办,孩子上课总睡觉怎么办？8
期末时候如何合理安排孩子的复习计划,期末复习阶段了，怎样来合理的复习呢？
上课喜欢睡觉怎么办,学生上课爱睡觉怎么办
"女生喜欢化妆,怎么教育",请问，学生不想上学，出现了厌学的状态，怎么办？9
如何合理安排假期作业,学生怎么合理安排课余学习时间？
如何对待单亲家庭的孩子,怎样对待性格极内向的单亲孩子？
如何快速建立班级凝聚力,如何基于培养学生核心素养开展班级活动？
高中学生沉迷游戏怎么办,学生沉迷游戏怎么办
家长该秉持怎样的育人理念，才能培养孩子养成良好的学习、生活习惯,怎样能让没有毅力的孩子坚持学习呢？
孩子不喜欢阅读怎么办,孩子上课总睡觉怎么办？11
如何与情绪不好的孩子相处,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。
如何帮助班级里的差生,怎么做才能做到学生心里最好的老师12
怎么合理处理师生间的矛盾,怎样平衡体育训练和文化课程之间的矛盾13
提高孩子的作文水平,数学课如何提高学生的表达能力？14
如何提高学习小组的讨论热情,如何做好小学班主任团队建设，谢谢
学生们上课讨论问题的有效性不高，如何能够提高,怎么样让学生在课堂合作学习中发挥最佳效果？
