注意力不集中怎么办？,老师们，我在一线的时候总有一个问题，如何能够提高小组讨论的有效性？！如何避免讨论后小组派代表没人愿意说？或者一讨论学生们就聊别的这一问题呢？,合理安排小组成员分工，分工明确，每个人都有事干，每个人都参与合作。汇报采取评分制，并给与一定的奖励。,老师们，我在一线的时候总有一个问题，如何能够提高小组讨论的有效性？！如何避免讨论后小组派代表没人愿意说？或者一讨论学生们就聊别的这一问题呢？
如何让孩子喜欢学英语,怎么让孩子喜欢哲学？,讲故事，吸引孩子，激发兴趣，爱上哲学！比如讲《七个馅饼??》的故事，让他懂得量变到质变的飞跃这个哲学故事，从而爱上哲学。,怎么让孩子喜欢哲学？
学生恋爱问题,学生沉迷游戏怎么办,兴趣引导，激励机制，口头协议！,学生沉迷游戏怎么办
如何防止孩子抄作业,如何不让孩子们在百度作业帮上查答案？,可否说正确引导孩子使用作业帮，因为有些题孩子查询一下还是可以的。,如何不让孩子们在百度作业帮上查答案？
孩子学习没有热情怎么办,孩子上课总睡觉怎么办？,对症下药，找清楚原因。,孩子上课总睡觉怎么办？
如何让孩子喜欢哲学,怎么让孩子喜欢哲学？,讲故事，吸引孩子，激发兴趣，爱上哲学！比如讲《七个馅饼??》的故事，让他懂得量变到质变的飞跃这个哲学故事，从而爱上哲学。,怎么让孩子喜欢哲学？
孩子喜欢打游戏机怎么办,孩子上课总睡觉怎么办？,回宿舍睡觉??,孩子上课总睡觉怎么办？
学生上课总是讲话怎么办,学生上课爱睡觉怎么办,先确定爱睡觉的原因，是身体不适，还是睡眠不足，是对学习内容不感兴趣，还是觉得所学内容太难无法理解。对症下药??。,学生上课爱睡觉怎么办
"想要调动学习积极性,有什么好的建议吗",请问各位好老师，怎么样才会让孩子爱上学习，能管住自己，自助学习。,不爱学习的孩子却在调皮淘气上很在行，这说明他不笨，而且很聪明，这样的孩子需要我们正确的引导。可以关注他擅长的事情，给他机会表现，对于他的优秀表现及时予以肯定和鼓励，他体验到成功的乐趣，进而他会对于各个方面乃至于学习都会用心，这样不愁他提不上来成绩。,请问各位好老师，怎么样才会让孩子爱上学习，能管住自己，自助学习。
老师们怎么能够管理好课堂秩序,老师们，如何排好班级位置呢，班主任经常接到家长电话要求将孩子排在前面来，可有那么多位置吗，座位滚动起来也是个问题，有时间孩子真看不到。怎么办呢。,调换座位真是一件很苦恼的事，我也是经常接到电话，我孩子近视看不到黑板上的字……给谁调家长都不高兴，没办法啊。后来我想出了一个不是办法的办法，用商量的口吻说，我们班某同学眼睛近视看不到黑板上的字，谁在不影响自己的情况下和他调换座位呢？我们是相亲相爱一家人，有困难我们要互相帮助。有的孩子就会伸出援手。我就会大大的拥抱一下，表扬一番，奖励一大朵红花（就是10朵小花）。这样就会避免和家长的矛盾。,老师们，如何排好班级位置呢，班主任经常接到家长电话要求将孩子排在前面来，可有那么多位置吗，座位滚动起来也是个问题，有时间孩子真看不到。怎么办呢。
对于学生偏科有什么好的建议吗,对班级里的学困生怎样进行辅导？,多的话，抓准两个，课上盯住，课上没学会的知识点课下一定辅导会了，抽空再出同样的题。在做练习题的过程中，遇到此类型题，还提问这个孩子。,对班级里的学困生怎样进行辅导？
怎么样可以让家长配合老师完成教学任务,怎么样让学生在课堂合作学习中发挥最佳效果？,做好分工，各尽所能,怎么样让学生在课堂合作学习中发挥最佳效果？
好动淘气的学生怎么办,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。,遇到这样的问题，一定不能硬来。首先老师的第一句话就是错误的，不能直接用命令的语气，给人的感觉生硬冰冷。另外叛逆期的孩子是很敏感的，老师不断的提醒会被他认为成老师在故意针对我。越这样他越和老师顶牛干。老师这时需要的是冷处理，少关注这些无伤大雅的小问题，努力去找他的发光点，并把这些优点无限放大，让他受到来自老师和同学的夸奖，然后告诉他你看你有这么多优点，同学们对你多么认可啊，但是咱还有爱说话调皮的缺点，要是收敛一点改正一下，那得多好啊！同时注意伙伴的力量同学的影响也很重要，排桌结组都需要老师一定的策略，发挥互助的力量！,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。
想要提高孩子的阅读能力,如何激发孩子们读书的兴趣？,刚开始可以搞活动提高孩子阅读的兴趣，习惯需慢慢培养,如何激发孩子们读书的兴趣？
如何树立好的习惯,怎样培养孩子的良好学习习惯,"比如预习的习惯，教师要做到有布置有检查，也可以让家长提供学习的视频发给老师，总之，通过布置、检查、再布置、再落实,反复训练，预习的习惯就会养成了！",怎样培养孩子的良好学习习惯
"对于性格内向的孩子,怎么鼓励",假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。,遇到这样的问题，一定不能硬来。首先老师的第一句话就是错误的，不能直接用命令的语气，给人的感觉生硬冰冷。另外叛逆期的孩子是很敏感的，老师不断的提醒会被他认为成老师在故意针对我。越这样他越和老师顶牛干。老师这时需要的是冷处理，少关注这些无伤大雅的小问题，努力去找他的发光点，并把这些优点无限放大，让他受到来自老师和同学的夸奖，然后告诉他你看你有这么多优点，同学们对你多么认可啊，但是咱还有爱说话调皮的缺点，要是收敛一点改正一下，那得多好啊！同时注意伙伴的力量同学的影响也很重要，排桌结组都需要老师一定的策略，发挥互助的力量！,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。
孩子不愿意上学怎么办,孩子上课总睡觉怎么办？,回宿舍睡觉??,孩子上课总睡觉怎么办？
期末时候如何合理安排孩子的复习计划,期末复习阶段了，怎样来合理的复习呢？,先进行总结归纳，字，词，句基础知识一定要打扎实，阅读理解扩展练习，习作可以讲解思路。,期末复习阶段了，怎样来合理的复习呢？
上课喜欢睡觉怎么办,学生上课爱睡觉怎么办,先确定爱睡觉的原因，是身体不适，还是睡眠不足，是对学习内容不感兴趣，还是觉得所学内容太难无法理解。对症下药??。,学生上课爱睡觉怎么办
"女生喜欢化妆,怎么教育",请问，学生不想上学，出现了厌学的状态，怎么办？,转移视线，因势利导，培养兴趣爱好为重点。,请问，学生不想上学，出现了厌学的状态，怎么办？
如何合理安排假期作业,学生怎么合理安排课余学习时间？,除适当布置家庭作业外，培养孩子的兴趣爱好。,学生怎么合理安排课余学习时间？
如何对待单亲家庭的孩子,怎样对待性格极内向的单亲孩子？,关爱、帮助、沟通,怎样对待性格极内向的单亲孩子？
如何快速建立班级凝聚力,如何基于培养学生核心素养开展班级活动？,开展班级活动对于学生有很多好处，不仅能让学生放松心情，减轻学习上的压力，还能让学生在活动中学习到很多知识，比如团结合作能力、锻炼身体、增加活动经验，提高自身的心理素质。在开展班级活动时，教师需要考虑学生的兴趣爱好，因为只有开展学生感兴趣的活动，学生才会积极主动的参与进来，否则就达不到预期的效果。比如说在班级每个学期一次的野炊活动中，可以让学生分小组去购买食材，并且让每个小组表演一个节目，可以是唱歌、跳舞、小品等节目，要求每个组的成员都参与到活动中来。这样的活动，锻炼学生的思考能力、表演能力，让学生敢于表现自己，有利于提升学生的核心素养。,如何基于培养学生核心素养开展班级活动？
高中学生沉迷游戏怎么办,学生沉迷游戏怎么办,我们可以设计奖励机制，作业完成了，可以给半小时玩游戏！,学生沉迷游戏怎么办
家长该秉持怎样的育人理念，才能培养孩子养成良好的学习、生活习惯,怎样能让没有毅力的孩子坚持学习呢？,好好学习,怎样能让没有毅力的孩子坚持学习呢？
孩子不喜欢阅读怎么办,孩子上课总睡觉怎么办？,回宿舍睡觉??,孩子上课总睡觉怎么办？
如何与情绪不好的孩子相处,假如你遇到不听话、叛逆的小明，该怎样和他相处？王老师：小明，把作业交出来！小明：没带！王老师：小明，上课不要讲话，不要影响别的同学学习！小明：（安静3秒钟又开始捣乱）王老师：小明，老师跟你讲什么你都听不进去！（已崩溃）小明为什么会这样呢？孩子在学校里的叛逆行为可能有：与老师同学争吵打架；逃课；不做不交作业；上课不听捣乱；不愿意参加集体活动；上学情绪低落；与家长顶嘴，唱反调。,关爱、帮助、沟通,怎样对待性格极内向的单亲孩子？
如何帮助班级里的差生,怎么做才能做到学生心里最好的老师,只要你用功，为学生好他们自然会喜欢你的！,怎么做才能做到学生心里最好的老师
怎么合理处理师生间的矛盾,怎样平衡体育训练和文化课程之间的矛盾,提出这样的问题，实际上是大家把他们对立起来了。过去很多时候，老师们都采用时间加汗水的方式开展教学活动，每个学科老师都会给学生们说自己的学科最重要。处理这样的问题一是教师观念的转变；二是教学方法的改革；三是教师之间达成共识，协调好时间。如果这个问题没有处理好责任主要在教师。,怎样平衡体育训练和文化课程之间的矛盾
提高孩子的作文水平,数学课如何提高学生的表达能力？,我的方法是老师先带着说，再师生一起说，最后让学生尝试独立说。,数学课如何提高学生的表达能力？
如何提高学习小组的讨论热情,如何做好小学班主任团队建设，谢谢,机制很重要，在选聘，培养，考核等都需要出一个机制,如何做好小学班主任团队建设，谢谢
学生们上课讨论问题的有效性不高，如何能够提高,怎么样让学生在课堂合作学习中发挥最佳效果？,做好分工，各尽所能,怎么样让学生在课堂合作学习中发挥最佳效果？
上课走神，注意力不集中怎么办如何让孩子感受到班集体的温暖，热爱班集体,老师们，我在一线的时候总有一个问题，如何能够提高小组讨论的有效性？！如何避免讨论后小组派代表没人愿意说？或者一讨论学生们就聊别的这一问题呢？,合理安排小组成员分工，分工明确，每个人都有事干，每个人都参与合作。汇报采取评分制，并给与一定的奖励。,老师们，我在一线的时候总有一个问题，如何能够提高小组讨论的有效性？！如何避免讨论后小组派代表没人愿意说？或者一讨论学生们就聊别的这一问题呢？
学生出现厌学的状态，不想上学，如何引导,音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？,至于欣赏课，想学生喜欢，动心，就必须有能打动他们的见解。这个问题出在教课的老师身上，自身水平不提高，没有真知灼见掺杂进去，很难让人喜欢的。,音乐课纪律不好怎么办？学生不愿意学习乐理知识，不喜欢上欣赏课怎么办？
学生在网上查答案，怎么让孩子不在百度作业帮上查答案,如何不让孩子们在百度作业帮上查答案？,很难实现做到,如何不让孩子们在百度作业帮上查答案？
在班级管理中如何发挥班干部的作业,如何基于培养学生核心素养开展班级活动？,没有活动就没有教育。活动促进学生的发展，铸就优秀的班集体。班级活动的实施不能“被动化”，设计不能“碎片化”，过程不能“程式化”，参与不能“少数化”，效应不能“简单化”。班级活动要注重活动价值，尤其是基于学生发展的核心素养背景下如何体现价值。,如何基于培养学生核心素养开展班级活动？
对于成绩不理想的考生怎么安抚,如何不让孩子们在百度作业帮上查答案？,可否说正确引导孩子使用作业帮，因为有些题孩子查询一下还是可以的。,如何不让孩子们在百度作业帮上查答案？
如何帮助考试成绩不理想的考生,如何不让孩子们在百度作业帮上查答案？,可否说正确引导孩子使用作业帮，因为有些题孩子查询一下还是可以的。,如何不让孩子们在百度作业帮上查答案？
