注意力不集中怎么办？,学生不交作业怎么办？,可以与家长交流，如果家长无法监管，还是得想办法让孩子明白作业的意义，多鼓励表扬。也可以指定离他家比较近的小老师，每天和小老师一起完成作业再回家。（安全要考虑到）。
如何让孩子喜欢学英语,如何安抚考生成绩不理想？,孩子考试差的原因不一样，不能一概而论，如果是一直都考不好，可能是自我效能感差，这时候应该是鼓励为主，并且联合家长共同鼓励和指导很有必要，和家长制定一个合理的比较容易实现的目标，让家长和孩子约定，慢慢进步，每次进步一定夸孩子努力进步，重拾孩子这方面的自信。如果是偶尔考的不好，就可能要看是不是人际交往，情绪哪方面出了问题，知道具体问题才能具体指导。
学生恋爱问题,学生不想上学，出现了厌学的状态怎么办？,转移视线，因势利导，培养兴趣爱好为重点。
如何防止孩子抄作业,如何开展班级活动可以提高学生核心素养？,"邢燕专家解答：
我一直认为教育是朴素的、本真的，一个好老师一定有自己的教育原则和方式方法。习总书记2016年八一学校重要讲话中指出，教师应该做学生锤炼品格的引路人，做学生学习知识的引路人，做学生创新思维的引路人，做学生奉献祖国的引路人。所以我认为基于大力培养学生核心素养的今天，在班级管理中教师应该对学生价值观、思维、品格、身体健康、能力、公民与社会素养等方面进行正确的引领与培养。学生核心素养主要通过班级中师生的互动得以落实。重视学生个人发展的核心素养培养体系，在学生自主发展、学生个性发展、课堂教学管理、班级管理评价等方面对班级管理提出了新挑战。
一、管理模式
从班级管理到班级治理
核心素养教育重视学生的自主发展，倡导突显学生的班级管理主体地位，由此，传统的班级管理模式面临着新的挑战。要从传统班级管理观中班主任作为单一管理主体，把班级“管住”“管死”的认识，转变成为班主任、科任教师、学生共同作为班级管理的多元主体，共同参与班级管理活动，实行民主、协作、互动式管理，充分培养学生的自我管理意识和管理能力，把班级“管活”培养学生的主人翁意识，让学生走向自我管理、自我教育，自主发展的道路。
二、管理策略
从重视共性到关注个性
核心素养理念下的教育重视发展学生个性，认为教育应该从人的本性出发，尊重学生的差异性、独立性和自主性，使不同的学生得到合适的教育，不同的个体在原有基础上得到多方面的和谐发展。根据学生个性发展需要，班级管理活动除了考虑学生共同发展需求外，还要针对学生实际进行个性化设计：
1、班级奋斗目标制定。除了设置班集体共同的奋斗目标外，还要针对学生个体实际设置适合不同学生个性发展的奋斗目标。
2、班级文化设置。班级文化要体现规范与个性的并存，除了设置面向集体的基本栏目，如班牌、班训、班规等之外，还要突出反映学生个性发展的栏目内容，如学生特长展示区、心愿展示区、读书心得展示区。
3、主题班会课。班主任除了根据大多数学生的思想状况设计内容之外，还要根据学生个体思想状况，细化内容设计，使所有学生都得到应有的教育。
4、班级实践活动。班级实践活动设计要考虑和体现学生个性化发展需要，关注到不同学生的发展需求。
5、班级管理岗位设置。班级管理岗位设置要体现适才适用原则，使每个学生都得到锻炼发展的机会。
三、班级评价
从一元主导到多元融合
班级管理的评价要考虑以下几个方面的因素：
1、评价指标多元化。核心素养体系不仅仅要考查学生语文、数学、英语等学科知识素养，还要考查学生的品行、能力、情感、价值观、公民意识、身心健康等总要素养，班级管理评价指标趋向多元化。
2、评价方法技术多元化。核心素养培养体系下，学生评价的重点由分学科知识评价转向基于核心素养的多元评价，其中品行、能力、情感、价值观、公民意识、身心健康等素养的评价要求对评价方法和技术的多元化提出了新挑战。
3、评价权重确定。核心素养体系中各组成部分在不同年级、不同学科学习内容中要求达到的程度都有着基本的规定，在评价的时候要准确把握各部分基本要求，确定相应的权重。"
孩子学习没有热情怎么办,我是一名小学科学教师，我想问一问有关科学实验中实验记录的问题，我个人觉得这个实验记录是个“鸡肋”，在课堂上写完的话会耽误很多时间，影响本课教学进度，而且部分学生还完成不了。如果不完成的话“上面，上上面”还做未一个项目要检查，来了之后还会找到好~~~多问题，字写得不好，表格设计不合理……，大家是怎样对待实验记录的？好方法分享一下啊！,这是普遍存在的现实问题……
如何让孩子喜欢哲学,如何安抚考生成绩不理想？,孩子考试差的原因不一样，不能一概而论，如果是一直都考不好，可能是自我效能感差，这时候应该是鼓励为主，并且联合家长共同鼓励和指导很有必要，和家长制定一个合理的比较容易实现的目标，让家长和孩子约定，慢慢进步，每次进步一定夸孩子努力进步，重拾孩子这方面的自信。如果是偶尔考的不好，就可能要看是不是人际交往，情绪哪方面出了问题，知道具体问题才能具体指导。
孩子喜欢打游戏机怎么办,现在的学生自觉性很差，听课的注意力更不集中，如何能改善这一点？,现在的环境诱惑也多。这个要和家长配合，在家和学校都得养成良好的习惯。
学生上课总是讲话怎么办,怎么让孩子喜欢哲学？,可以播放一些教学视频，通过讲故事，吸引孩子，激发学习兴趣。
"想要调动学习积极性,有什么好的建议吗",教学为什么提倡创设情境,创设贴近孩子真实生活的情境，有助于孩子理解和再次转化到生活中去解决问题。创设有趣的情境，有助于调动孩子学习的热情，这个适用于低年级的孩子。
老师们怎么能够管理好课堂秩序,现在的家长总是对老师的工作指手画脚，安排值日怕孩子累着，拍个球嫌孩子衣服脏了，甚至有家长把老师当做保姆，吃药的事情都让老师代劳。遇到这样的家长怎么和他们沟通呢？,我也遇到过这样的家长，我发现和家长沟通也是一门艺术。现在的孩子为什么自理能力差？大部分都是因为有这样的家长娇惯、溺爱造成的。1、家长会、微信班群、电话都是和家长们有效沟通的途径，这是我最常用的。家长会上可以面对面的交流，作为教师，交流时的用语和语气非常重要。利用微信发一些孩子们积极向上的图片，再配以鼓励、表扬性的语言，给予不能、或不会做的孩子一个榜样，起到良好的带头作用，带动一部分积极向上的孩子共同进步，家长都能看到孩子们在做什么。有急需沟通的问题我会用电话，当然电话接通的开始，我一般先说孩子的进步，接下来沟通就容易了。2、利用每周的主题或专题班会向家长展示：这学期我班进行了《祖国在我心中》、《我爱爸爸妈妈》、《老师，您好》、《文明伴我行》等等主题、专题活动。每一次开始前，我都会留一些与之内容有关的亲子作业，老师做的、家长需要配合的、孩子做什么等，都写清楚。我会说班会的成功是大家努力的结果，孩子的进步是大家坚持和支持的结果。每次过后，家长都有感动:孩子第一次给自己洗了脚；第一次扫地，擦了桌子；第一次对他说:“爸爸，您辛苦了！”这也是展示老师业务素质和个人魅力的一面。所以，经过一段时间这样的家长也会转变，会越来越少。
